Date,TotalConfirmed
5/6/2020,1
5/26/2020,2
6/5/2020,3
6/6/2020,4
6/7/2020,5
6/9/2020,7
6/10/2020,9
6/11/2020,11
6/12/2020,14
6/13/2020,17
6/14/2020,20
6/15/2020,22
6/16/2020,24
6/17/2020,28
6/18/2020,30
6/19/2020,34
6/20/2020,37
6/21/2020,41
6/22/2020,43
6/23/2020,46
6/24/2020,54
6/25/2020,62
6/26/2020,73
6/27/2020,78
6/28/2020,83
6/29/2020,84
6/30/2020,94
7/1/2020,100
7/2/2020,108
7/3/2020,122
7/4/2020,135
7/5/2020,150
7/6/2020,152
7/7/2020,176
7/8/2020,198
7/9/2020,198
7/10/2020,205
7/11/2020,218
7/12/2020,233
7/13/2020,252
7/14/2020,263
7/15/2020,272
7/16/2020,283
7/17/2020,291
7/18/2020,291
7/19/2020,301
7/20/2020,294
7/21/2020,298
7/22/2020,282
7/23/2020,278
7/24/2020,301
7/25/2020,305
7/26/2020,296
7/27/2020,287
7/28/2020,277
7/29/2020,272
7/30/2020,262
7/31/2020,252
8/1/2020,259
8/2/2020,256
8/3/2020,231
8/4/2020,226
8/5/2020,221
8/6/2020,217
8/7/2020,199
8/8/2020,182
8/9/2020,174
8/10/2020,157
8/12/2020,144
8/13/2020,138
8/14/2020,130
8/15/2020,127
8/17/2020,105
8/18/2020,104
8/19/2020,107
8/20/2020,103
8/23/2020,97
8/24/2020,85
8/25/2020,85
8/26/2020,85
8/27/2020,89
8/28/2020,86
8/29/2020,86
8/30/2020,83